Subgroup,Observed,GLM,NN
18-25,0.13641960066587802,0.09495503120479107,0.0751345218029707
26-35,0.07723630584194559,0.08493615351522027,0.07432231055170434
36-45,0.07219760779290839,0.07621740474922184,0.0741350069857525
46-55,0.07249866358941476,0.0707580098825851,0.07422500755826682
56-65,0.06084662194741824,0.06827750640911548,0.07441042875444283
66+,0.06702227016695603,0.05788491093892025,0.0745573688556535
