Subgroup,Observed,GLM,NN
A,0.05945399615802392,0.06491406686937899,0.07486748170733959
B,0.06329964267567088,0.06831637293773192,0.07296110356303791
C,0.06190420468993876,0.07246201301896228,0.07380173997575698
D,0.09384796315566968,0.07587174968619242,0.07416169859847359
E,0.09046126158584583,0.08496944242931481,0.07567272463462583
F,0.07976281279483599,0.09025299461789288,0.07567855881119291
