Subgroup,Observed,GLM,NN
Low,0.07459677504381039,0.07230137101033915,0.07410291679744242
Medium,0.07111395067851443,0.07479343217173234,0.07454913279699509
High,0.08124633301999372,0.08119598404212708,0.07491042693904643
Very High,0.07083616313536067,0.08411768750392185,0.07579464397736008
